,,T1,T2,T3,T4,T5,E,STD
0,R2-train,0.3093424129071255,0.3457476063750309,0.30305830791593724,0.32617830020474525,0.3160711233289518,0.32007955014635814,0.016711673700921345
1,RMSE-train,30.714012231635035,27.33054218666576,29.569599758655446,29.5245481098886,29.160306820167275,29.25980182140242,1.2260439704510357
2,R2-test,0.3788205861736006,0.24447754457677673,0.3768889103686086,0.28163815387439195,0.32891780841394913,0.32214860068146545,0.059008319062902194
3,RMSE-test,22.773114611351996,36.17470907218619,28.249251615602713,28.421455364929514,29.830312697208477,29.08976867225578,4.790564059895911
4,f0,8.657270544412636,5.802588206646822,-10.002471125200755,1.0955408492999659,-3.293040635272998,0.4519775679771344,7.410983395505244
5,f1,-5.752000522821465,-6.071003397661335,-4.6192271310075155,-6.010594556349,-4.7572582565404575,-5.442016772875954,0.7001556640684079
6,f2,-22.92705447789768,-19.179680289072703,-16.25182085450898,-16.74907016550201,-4.032011265813821,-15.827927410559038,7.102881102016163
7,f3,-0.04460134830189229,-0.18891381924653722,-0.3735285241471199,-0.321996461030262,0.13079306391069603,-0.15964941776302308,0.20648857913150107
8,f4,-0.9235149818696107,-11.158817284432311,2.5541330303040297,-19.848030043000687,5.8521383900563455,-4.704818177788447,10.599657170630085
9,f5,44.5589397144131,41.0806407005401,42.94925575093763,41.00705051311692,38.87855115640794,41.69488756708314,2.1539733080549954
10,f6,8.494605647560974,6.833019710100734,12.38773949876672,1.8640384048939316,5.027929610417922,6.921466574348057,3.9219188861657632
11,f7,16.101297059601542,19.759665191153,9.413482239061494,23.90373564218102,14.730403526519368,16.781716731703284,5.4441038455112745
12,f8,43.7709061661383,53.33720847542966,44.152206458608326,31.976102720907413,48.74792911601889,44.39687058742052,7.962231443783576
13,f9,-5.980599197198147,-4.793078253090467,-9.703265750676998,-3.8003172820948756,6.226913909444296,-3.610069314723239,5.936084528557637
14,f10,-1.7359999312747687,-5.539595137886043,-1.9562991999725974,-9.10083724641824,-4.98339826449138,-4.663225956008606,3.019065744450486
15,f11,37.51938839836943,38.161438749852586,37.143389798066515,47.381919104644254,40.06793940469705,40.054815091125974,4.247831364167631
16,f12,61.57732783707814,64.70532372899392,76.42492652600683,83.80442010861829,55.99218915805582,68.5008374717506,11.355593574663743
17,f13,18.58098782533955,19.5712758406269,10.918225509868938,28.775518227144644,8.14761853160859,17.198725186917724,8.107542654550612
18,f14,-16.235397689177788,-16.041627341004254,-5.569078354883151,-22.254226278180887,-14.689972960447838,-14.958060524738784,6.00550995142512
19,f15,3.1010115008351833,3.916868816984746,-1.6149367727520005,7.59405529908155,5.622986458616482,3.7239970605531925,3.446485039210783
