,,T1,T2,T3,T4,T5,E,STD
0,RMSE-train,1.487583,1.479923,1.468311,1.490548,1.471377,1.4795484,0.009730586559915134
1,RMSE-test,1.234129,1.223997,1.243014,1.245971,1.224261,1.2342743999999999,0.010236031105853464
